Grouped Distance to Nearest Coffee Shop,Distance in Miles,Self Reported Loyalty,Key Factor,Inferred Loyalty
Between 0.5-2 miles,0.7,1,Taste,Not Loyal
Less than 0.5 mile,0.2,4,Taste,Not Loyal
Less than 0.5 mile,0.25,2,Proximity,Not Loyal
Less than 0.5 mile,0.1,3,Proximity,Not Loyal
Less than 0.5 mile,0.4,4,Taste,Loyal
Less than 0.5 mile,0.4,3,Others,Not Loyal
Less than 0.5 mile,0.2,3,Taste,Loyal
Between 0.5-2 miles,0.8,4,Proximity,Not Loyal
Between 0.5-2 miles,0.6,1,Taste,Loyal
Less than 0.5 mile,0.2,2,Taste,Loyal
Less than 0.5 mile,0.4,3,Price,Not Loyal
Less than 0.5 mile,0.1,5,Taste,Loyal
Less than 0.5 mile,0.1,3,Taste,Loyal
Less than 0.5 mile,0.3,5,Others,Loyal
Between 0.5-2 miles,1.1,5,Taste,Not Loyal
Between 0.5-2 miles,1.9,3,Taste,Not Loyal
Less than 0.5 mile,0.1,2,Price,Not Loyal
Between 0.5-2 miles,1.8,4,Rewards program,Not Loyal
Between 0.5-2 miles,2,5,Taste,Not Loyal
Less than 0.5 mile,0.2,5,Taste,Loyal
Between 0.5-2 miles,2,4,Taste,Loyal
Less than 0.5 mile,0.25,3,Taste,Loyal
Between 0.5-2 miles,1,5,Taste,Not Loyal
Between 0.5-2 miles,1,4,Taste,Not Loyal
Less than 0.5 mile,0.1,1,Taste,Not Loyal
Less than 0.5 mile,0.1,3,Taste,Not Loyal
Between 0.5-2 miles,0.7,5,Taste,Loyal
Less than 0.5 mile,0.1,4,Taste,Not Loyal
Between 0.5-2 miles,1,4,Taste,Not Loyal
Less than 0.5 mile,0.2,4,Taste,Loyal
Less than 0.5 mile,0.4,1,Taste,Not Loyal
Less than 0.5 mile,0.3,4,Taste,Loyal
Less than 0.5 mile,0.2,1,Taste,Not Loyal
Between 0.5-2 miles,1,1,Proximity,Not Loyal
Between 0.5-2 miles,2,4,Taste,Not Loyal
Less than 0.5 mile,0.3,2,Taste,Loyal
Less than 0.5 mile,0.3,5,Taste,Loyal
Less than 0.5 mile,0.2,1,Others,Not Loyal
Less than 0.5 mile,0.2,3,Taste,Not Loyal
More than 2 miles,3,1,Taste,Not Loyal
Less than 0.5 mile,0.4,1,Others,Not Loyal
More than 2 miles,3,1,Taste,Not Loyal
Less than 0.5 mile,0.4,2,Taste,Not Loyal
Less than 0.5 mile,0.4,5,Proximity,Not Loyal
Less than 0.5 mile,0.2,4,Proximity,Not Loyal
Between 0.5-2 miles,1,1,Proximity,Not Loyal
Less than 0.5 mile,0.1,5,Taste,Not Loyal
Less than 0.5 mile,0.3,1,Taste,Loyal
Less than 0.5 mile,0.3,5,Rewards program,Loyal
Less than 0.5 mile,0.2,4,Proximity,Not Loyal
Less than 0.5 mile,0.1,5,Proximity,Not Loyal
Between 0.5-2 miles,2,4,Taste,Loyal
Less than 0.5 mile,0.3,1,Proximity,Not Loyal
Between 0.5-2 miles,2,1,Taste,Not Loyal
Between 0.5-2 miles,1,4,Taste,Not Loyal
More than 2 miles,3,2,Proximity,Not Loyal
Less than 0.5 mile,0.3,1,Taste,Not Loyal
Between 0.5-2 miles,0.5,1,Taste,Not Loyal
Between 0.5-2 miles,0.5,1,Taste,Loyal
Less than 0.5 mile,0.3,1,Taste,Loyal
Between 0.5-2 miles,0.5,1,Proximity,Not Loyal
Less than 0.5 mile,0.1,1,Others,Loyal
Between 0.5-2 miles,1,1,Taste,Not Loyal
Between 0.5-2 miles,1.6,1,Taste,Not Loyal
Between 0.5-2 miles,2,1,Taste,Not Loyal
Between 0.5-2 miles,2,1,Price,Loyal
Less than 0.5 mile,0.15,3,Others,Not Loyal
Less than 0.5 mile,0.25,4,Taste,Loyal
Between 0.5-2 miles,1.75,1,Taste,Not Loyal
Less than 0.5 mile,0.4,5,Taste,Not Loyal
Less than 0.5 mile,0.3,5,Taste,Not Loyal
Less than 0.5 mile,0.2,4,Taste,Not Loyal